run_index,scenario,seed,simulated_ebitda,simulated_contract_revenue,retained_pct_of_base_contract
132,downside,42,791685.338285,2147905.748912,0.671221
133,downside,42,887412.707184,2631377.309008,0.822305
134,downside,42,897377.876896,2681706.448968,0.838033
135,downside,42,944429.731816,2919342.079881,0.912294
136,downside,42,937010.648693,2881871.963096,0.900585
137,downside,42,783411.483344,2106118.602748,0.658162
138,downside,42,720313.659477,1787442.724632,0.558576
139,downside,42,948239.823773,2938584.968549,0.918308
140,downside,42,842084.642726,2402447.690533,0.750765
141,downside,42,964367.040422,3020035.557685,0.943761
142,downside,42,851020.483818,2447578.201099,0.764868
143,downside,42,718901.023911,1780308.201570,0.556346
144,downside,42,774806.466240,2062658.920406,0.644581
145,downside,42,782451.061017,2101267.984932,0.656646
146,downside,42,905246.277480,2721445.845858,0.850452
147,downside,42,857534.837484,2480478.977190,0.775150
148,downside,42,850159.838678,2443231.508472,0.763510
149,downside,42,858211.691203,2483897.430319,0.776218
150,downside,42,964642.618914,3021427.368252,0.944196
151,downside,42,905052.398264,2720466.657902,0.850146
152,downside,42,907468.579807,2732669.594984,0.853959
153,downside,42,853803.001639,2461631.321409,0.769260
154,downside,42,758776.339317,1981698.683421,0.619281
155,downside,42,864401.039067,2515156.762966,0.785986
156,downside,42,712845.137285,1749722.915580,0.546788
157,downside,42,812056.930598,2250792.578779,0.703373
158,downside,42,898775.129629,2688763.280956,0.840239
159,downside,42,809169.654691,2236210.377229,0.698816
160,downside,42,727583.490628,1824159.043574,0.570050
161,downside,42,657222.316796,1468799.579777,0.459000
162,downside,42,821299.696177,2297473.213017,0.717960
163,downside,42,776943.306309,2073451.041963,0.647953
164,downside,42,908978.744925,2740296.691540,0.856343
165,downside,42,820091.292208,2291370.162666,0.716053
166,downside,42,884993.930999,2619161.267673,0.818488
167,downside,42,905452.807874,2722488.928657,0.850778
168,downside,42,811637.839003,2248675.954563,0.702711
169,downside,42,755364.325217,1964466.288977,0.613896
170,downside,42,811380.357193,2247375.541378,0.702305
171,downside,42,945170.325155,2923082.450276,0.913463
172,downside,42,759936.451715,1987557.836946,0.621112
173,downside,42,778811.376533,2082885.740066,0.650902
174,downside,42,726545.429134,1818916.308759,0.568411
175,downside,42,803503.091694,2207591.372190,0.689872
176,downside,42,554864.841788,951842.635291,0.297451
177,downside,42,858982.767915,2487791.757148,0.777435
178,downside,42,960693.079891,3001480.201471,0.937963
179,downside,42,838164.310030,2382648.030453,0.744578
180,downside,42,758876.605678,1982205.079182,0.619439
181,downside,42,811925.956794,2250131.094920,0.703166
182,downside,42,767751.354173,2027027.041276,0.633446
183,downside,42,780663.644995,2092240.631287,0.653825
184,downside,42,752084.258900,1947900.297476,0.608719
185,downside,42,900918.434928,2699588.055194,0.843621
186,downside,42,722121.433487,1796572.896399,0.561429
187,downside,42,878793.832001,2587847.636371,0.808702
188,downside,42,755725.629402,1966291.057587,0.614466
189,downside,42,894646.913187,2667913.702963,0.833723
190,downside,42,902365.555335,2706896.744116,0.845905
191,downside,42,888779.108848,2638278.327514,0.824462
192,downside,42,831092.418250,2346931.405303,0.733416
193,downside,42,687893.696422,1623705.537483,0.507408
194,downside,42,713187.337536,1751451.199676,0.547328
195,downside,42,701650.908585,1693186.406994,0.529121
196,downside,42,697993.159692,1674712.927739,0.523348
197,downside,42,948372.455186,2939254.824173,0.918517
198,downside,42,840465.896046,2394272.202255,0.748210
199,downside,42,899849.963287,2694191.733775,0.841935
200,downside,42,637236.421334,1367860.713807,0.427456
201,downside,42,744498.019977,1909585.959482,0.596746
202,downside,42,895498.257526,2672213.421847,0.835067
203,downside,42,665416.207497,1510182.866144,0.471932
204,downside,42,794565.820513,2162453.638956,0.675767
205,downside,42,730391.921310,1838343.036918,0.574482
206,downside,42,727083.109924,1821631.868302,0.569260
207,downside,42,816618.758684,2273832.114564,0.710573
208,downside,42,664404.937791,1505075.443390,0.470336
209,downside,42,670551.578609,1536119.083885,0.480037
210,downside,42,789042.631296,2134558.743921,0.667050
211,downside,42,782782.013216,2102939.460687,0.657169
212,downside,42,878281.967691,2585262.463088,0.807895
213,downside,42,848879.028221,2436762.768794,0.761488
214,downside,42,964653.680800,3021483.236362,0.944214
215,downside,42,807147.191033,2225995.914309,0.695624
216,downside,42,959230.987802,2994095.897987,0.935655
217,downside,42,788568.605264,2132164.673053,0.666301
218,downside,42,659530.277791,1480455.948442,0.462642
219,downside,42,808072.244429,2230667.901159,0.697084
220,downside,42,803864.862254,2209418.496230,0.690443
221,downside,42,899143.508232,2690623.778949,0.840820
222,downside,42,888939.853589,2639090.169639,0.824716
223,downside,42,962543.108495,3010823.780276,0.940882
224,downside,42,722111.583124,1796523.147089,0.561413
225,downside,42,652271.214648,1443794.013374,0.451186
226,downside,42,947925.973675,2936999.867044,0.917812
227,downside,42,632732.234659,1345112.296258,0.420348
228,downside,42,817149.276423,2276511.497086,0.711410
229,downside,42,769762.147721,2037182.564249,0.636620
230,downside,42,716788.832225,1769640.566792,0.553013
231,downside,42,834191.636655,2362584.023511,0.738308
232,downside,42,571544.849713,1036085.099558,0.323777
233,downside,42,831111.612908,2347028.348021,0.733446
234,downside,42,903917.764264,2714736.183151,0.848355
235,downside,42,954677.167626,2971096.806193,0.928468
236,downside,42,880321.704516,2595564.164223,0.811114
237,downside,42,762648.715993,2001256.141381,0.625393
238,downside,42,624113.911972,1301585.414000,0.406745
239,downside,42,967944.054516,3038101.285434,0.949407
240,downside,42,951693.317726,2956026.857202,0.923758
241,downside,42,691458.063189,1641707.389845,0.513034
242,downside,42,765927.038823,2017813.327389,0.630567
243,downside,42,966224.576110,3029417.051059,0.946693
244,downside,42,718576.070091,1778667.020664,0.555833
245,downside,42,847431.560921,2429452.327884,0.759204
246,downside,42,902595.520525,2708058.184472,0.846268
247,downside,42,795601.648714,2167685.094513,0.677402
248,downside,42,905792.334643,2724203.710318,0.851314
249,downside,42,943432.657701,2914306.352023,0.910721
250,downside,42,899173.635232,2690775.935513,0.840867
251,downside,42,700891.574328,1689351.385496,0.527922
252,downside,42,661862.883113,1492236.783398,0.466324
253,downside,42,699515.794587,1682403.002965,0.525751
254,downside,42,598809.683923,1173786.282439,0.366808
