run_index,scenario,seed,simulated_ebitda,simulated_contract_revenue,retained_pct_of_base_contract
102,de_risked,42,1002868.206104,3216389.749169,1.005122
103,de_risked,42,906212.590368,2664071.944958,0.832522
104,de_risked,42,956015.327406,2948659.013747,0.921456
105,de_risked,42,960213.378636,2972647.877922,0.928952
106,de_risked,42,957256.568447,2955751.819696,0.923672
107,de_risked,42,993405.816742,3162318.952813,0.988225
108,de_risked,42,1000059.793136,3200341.675063,1.000107
109,de_risked,42,958689.918901,2963942.393719,0.926232
110,de_risked,42,904583.875185,2654765.001055,0.829614
111,de_risked,42,958222.745509,2961272.831478,0.925398
112,de_risked,42,867104.469466,2440596.968377,0.762687
113,de_risked,42,955250.985783,2944291.347332,0.920091
114,de_risked,42,996125.711344,3177861.207681,0.993082
115,de_risked,42,919443.026339,2739674.436220,0.856148
116,de_risked,42,999234.011973,3195622.925562,0.998632
117,de_risked,42,902657.470421,2643756.973835,0.826174
118,de_risked,42,997228.171139,3184160.977938,0.995050
119,de_risked,42,792586.842689,2014781.958221,0.629619
120,de_risked,42,823708.107140,2192617.755083,0.685193
121,de_risked,42,995850.756886,3176290.039347,0.992591
122,de_risked,42,956445.659107,2951118.052038,0.922224
123,de_risked,42,994745.303809,3169973.164621,0.990617
124,de_risked,42,997476.130364,3185577.887792,0.995493
125,de_risked,42,996316.764700,3178952.941144,0.993423
126,de_risked,42,963494.225880,2991395.576455,0.934811
127,de_risked,42,867392.693431,2442243.962461,0.763201
128,de_risked,42,993655.474807,3163745.570324,0.988670
129,de_risked,42,900969.696192,2634112.549671,0.823160
130,de_risked,42,998437.099807,3191069.141757,0.997209
131,de_risked,42,962865.785713,2987804.489791,0.933689
132,de_risked,42,957604.580786,2957740.461632,0.924294
133,de_risked,42,998939.204603,3193938.312016,0.998106
134,de_risked,42,964077.671364,2994729.550653,0.935853
135,de_risked,42,957615.808851,2957804.622004,0.924314
136,de_risked,42,1000793.701756,3204535.438607,1.001417
137,de_risked,42,1002193.469656,3212534.112321,1.003917
138,de_risked,42,1000278.440518,3201591.088675,1.000497
139,de_risked,42,998159.972163,3189485.555218,0.996714
140,de_risked,42,902996.408964,2645693.765507,0.826779
141,de_risked,42,993505.041383,3162885.950759,0.988402
142,de_risked,42,907469.514849,2671254.370568,0.834767
143,de_risked,42,962883.189620,2987903.940683,0.933720
144,de_risked,42,863937.528703,2422500.164020,0.757031
145,de_risked,42,992770.424555,3158688.140314,0.987090
146,de_risked,42,955885.906225,2947919.464144,0.921225
147,de_risked,42,958009.426095,2960053.863399,0.925017
148,de_risked,42,883798.178278,2535989.590163,0.792497
149,de_risked,42,960416.137184,2973806.498195,0.929315
150,de_risked,42,1000198.269348,3201132.967703,1.000354
151,de_risked,42,998722.704054,3192701.166020,0.997719
152,de_risked,42,1000169.895487,3200970.831353,1.000303
153,de_risked,42,955928.458967,2948162.622670,0.921301
154,de_risked,42,957323.718484,2956135.534194,0.923792
155,de_risked,42,901353.587007,2636306.211468,0.823846
156,de_risked,42,994718.963564,3169822.648940,0.990570
157,de_risked,42,998031.586499,3188751.922850,0.996485
158,de_risked,42,863593.584444,2420534.768251,0.756417
159,de_risked,42,996103.408453,3177733.762591,0.993042
160,de_risked,42,957202.960480,2955445.488455,0.923577
161,de_risked,42,863902.065555,2422297.517459,0.756968
162,de_risked,42,953704.527857,2935454.444898,0.917330
163,de_risked,42,867130.542236,2440745.955633,0.762733
164,de_risked,42,957942.059598,2959668.911988,0.924897
165,de_risked,42,995936.655998,3176780.891417,0.992744
166,de_risked,42,997474.658568,3185569.477529,0.995490
167,de_risked,42,995891.175554,3176521.003168,0.992663
168,de_risked,42,956364.323945,2950653.279688,0.922079
169,de_risked,42,900918.223679,2633818.421021,0.823068
170,de_risked,42,959426.435605,2968151.060599,0.927547
171,de_risked,42,959267.344599,2967241.969138,0.927263
172,de_risked,42,770445.874274,1888262.138710,0.590082
173,de_risked,42,995558.388269,3174619.361538,0.992069
174,de_risked,42,997350.991424,3184862.808135,0.995270
175,de_risked,42,997022.843463,3182987.676932,0.994684
176,de_risked,42,995402.630841,3173729.319090,0.991790
177,de_risked,42,994695.626691,3169689.295380,0.990528
178,de_risked,42,957990.358956,2959944.908322,0.924983
179,de_risked,42,992944.130060,3159680.743200,0.987400
180,de_risked,42,1003347.497859,3219128.559195,1.005978
181,de_risked,42,866035.513106,2434488.646321,0.760778
182,de_risked,42,996424.618381,3179569.247890,0.993615
183,de_risked,42,998419.651004,3190969.434308,0.997178
184,de_risked,42,963018.105451,2988674.888291,0.933961
185,de_risked,42,999623.717931,3197849.816746,0.999328
186,de_risked,42,995211.247985,3172635.702772,0.991449
187,de_risked,42,956697.364932,2952556.371041,0.922674
188,de_risked,42,864933.110332,2428189.201896,0.758809
189,de_risked,42,771488.927697,1894222.443985,0.591945
190,de_risked,42,1001130.799784,3206461.713054,1.002019
191,de_risked,42,997046.592999,3183123.388564,0.994726
192,de_risked,42,907334.077876,2670480.445008,0.834525
193,de_risked,42,864016.670484,2422952.402764,0.757173
194,de_risked,42,831874.325783,2239281.861618,0.699776
195,de_risked,42,1000861.589845,3204923.370544,1.001539
196,de_risked,42,1000120.106974,3200686.325568,1.000214
197,de_risked,42,904921.310057,2656693.200324,0.830217
198,de_risked,42,992421.125181,3156692.143891,0.986466
199,de_risked,42,993079.743967,3160455.679809,0.987642
200,de_risked,42,995451.017422,3174005.813838,0.991877
201,de_risked,42,1000922.104890,3205269.170798,1.001647
202,de_risked,42,966235.638212,3007060.789785,0.939706
203,de_risked,42,903390.439408,2647945.368048,0.827483
204,de_risked,42,902856.002017,2644891.440099,0.826529
205,de_risked,42,997912.599371,3188071.996408,0.996272
206,de_risked,42,903062.114608,2646069.226334,0.826897
207,de_risked,42,995744.575713,3175683.289790,0.992401
208,de_risked,42,994148.520352,3166562.973441,0.989551
209,de_risked,42,998250.616911,3190003.525204,0.996876
