run_index,scenario,seed,simulated_ebitda,simulated_contract_revenue,retained_pct_of_base_contract
68,base,42,903245.515998,2647117.234276,0.827224
69,base,42,894706.837290,2598324.784514,0.811976
70,base,42,909672.465362,2683842.659211,0.838701
71,base,42,971504.441820,3037168.238970,0.949115
72,base,42,877204.907954,2498313.759737,0.780723
73,base,42,951097.549458,2920557.425476,0.912674
74,base,42,981543.386323,3094533.636132,0.967042
75,base,42,890193.191770,2572532.524401,0.803916
76,base,42,900066.354318,2628950.596101,0.821547
77,base,42,821318.236406,2178961.350894,0.680925
78,base,42,991578.835887,3151879.062209,0.984962
79,base,42,979257.391668,3081470.809529,0.962960
80,base,42,976654.937119,3066599.640679,0.958312
81,base,42,822808.018403,2187474.390876,0.683586
82,base,42,946828.268398,2896161.533704,0.905050
83,base,42,980615.613762,3089232.078640,0.965385
84,base,42,955977.989647,2948445.655127,0.921389
85,base,42,951109.839474,2920627.654135,0.912696
86,base,42,951827.113189,2924726.361079,0.913977
87,base,42,984124.885811,3109285.061775,0.971652
88,base,42,824438.442274,2196791.098708,0.686497
89,base,42,992511.111545,3157206.351688,0.986627
90,base,42,933839.522814,2821940.130363,0.881856
91,base,42,902443.754505,2642535.740031,0.825792
92,base,42,921040.453556,2748802.591749,0.859001
93,base,42,952510.353882,2928630.593609,0.915197
94,base,42,941040.951916,2863091.153808,0.894716
95,base,42,977963.957524,3074079.757278,0.960650
96,base,42,988352.778105,3133444.446315,0.979201
97,base,42,953560.370917,2934630.690955,0.917072
98,base,42,987488.954118,3128508.309245,0.977659
99,base,42,949866.068420,2913520.390974,0.910475
100,base,42,961579.375291,2980453.573093,0.931392
101,base,42,953635.708558,2935061.191762,0.917207
102,base,42,899046.215047,2623121.228839,0.819725
103,base,42,994501.512903,3168580.073732,0.990181
104,base,42,954515.644181,2940089.395322,0.918778
105,base,42,910671.269852,2689550.113438,0.840484
106,base,42,982105.366934,3097744.953908,0.968045
107,base,42,948793.694700,2907392.541141,0.908560
108,base,42,958117.129101,2960669.309148,0.925209
109,base,42,988878.461294,3136448.350251,0.980140
110,base,42,892238.122445,2584217.842540,0.807568
111,base,42,892854.434451,2587739.625435,0.808669
112,base,42,854474.036547,2368423.065984,0.740132
113,base,42,952711.991989,2929782.811366,0.915557
114,base,42,944067.707962,2880386.902637,0.900121
115,base,42,941909.953343,2868056.876244,0.896268
116,base,42,956843.471367,2953391.264955,0.922935
117,base,42,891244.696518,2578541.122962,0.805794
118,base,42,844384.433134,2310768.189336,0.722115
119,base,42,989135.873301,3137919.276008,0.980600
120,base,42,956086.271642,2949064.409381,0.921583
121,base,42,766798.696422,1867421.122410,0.583569
122,base,42,979943.079647,3085389.026553,0.964184
123,base,42,826776.995706,2210154.261175,0.690673
124,base,42,695855.879161,1462033.595208,0.456885
125,base,42,735107.964215,1686331.224088,0.526979
126,base,42,902258.966195,2641479.806829,0.825462
127,base,42,850294.935156,2344542.486604,0.732670
